Jeremy Lin,BKN,1,14,0.778,1.14,16,4,9,44.4,50,0.214,0.143,0.071,0,0.5
Ramon Sessions,NYK,13,3.7,0.649,0.56,2.1,0.7,2.7,25.7,25.7,0.125,0.167,0.104,0.021,0.292
Markel Brown,HOU,2,1.5,0.6,0.67,1,0.5,1,50,50,0,0.333,0,0,0.333
Xavier Rathan-Mayes,MEM,5,6.6,0.579,0.52,3.4,1.6,5.6,28.6,30.4,0.03,0.152,0.03,0.03,0.242
Mike James,PHX,32,6.7,0.539,0.82,5.5,2.2,5.3,42,45.6,0.07,0.153,0.065,0.009,0.386
Tyler Ulis,PHX,71,5.4,0.529,0.8,4.3,1.8,4.3,42.1,44.7,0.063,0.15,0.047,0.005,0.388
Josh Magette,ATL,17,1.8,0.525,0.71,1.3,0.4,1.4,25,29.2,0.129,0.097,0.065,0,0.323
Josh Gray,PHX,5,5.4,0.509,0.63,3.4,1.2,3.8,31.6,31.6,0.185,0.148,0.185,0.037,0.37
Kemba Walker,CHA,80,10.8,0.503,1.03,11.1,3.7,8.5,43.9,51.6,0.133,0.107,0.113,0.028,0.448
Reggie Jackson,DET,45,8.2,0.503,0.94,7.7,3.2,6.6,48,50,0.084,0.13,0.087,0.019,0.451
Jarrett Jack,NYK,62,4.8,0.502,0.86,4.1,1.8,3.8,46.4,47.7,0.061,0.159,0.054,0.014,0.416
Kay Felder,CHI,13,3.3,0.5,0.51,1.7,0.7,2.5,28.1,28.1,0.047,0.209,0.047,0,0.256
John Holland,CLE,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0
Tony Parker,SAS,55,4.5,0.498,0.81,3.6,1.6,3.6,45.7,45.9,0.057,0.151,0.053,0.012,0.408
Elfrid Payton,PHX,19,7.3,0.495,0.86,6.3,2.5,5.5,46.2,47.1,0.144,0.173,0.137,0.065,0.417
Dennis Schroder,ATL,67,10.5,0.49,0.88,9.2,3.9,8.4,46,47.7,0.073,0.138,0.064,0.016,0.424
J.J. Barea,DAL,69,6.2,0.487,0.84,5.2,2,4.7,42.4,48.1,0.068,0.181,0.059,0.007,0.383
