PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Solomon Hill,NOP,12,0.1,1.90%,0,0,0,0.1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Chinanu Onuaku,HOU,1,1,12.50%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Cheick Diallo,NOP,52,1.2,27.30%,1.25,1.5,0.6,0.9,60.4,60.4,22.20%,7.90%,20.60%,6.30%,61.90%,83.6
Johnathan Motley,DAL,11,1.5,16.50%,0.94,1.4,0.6,1.1,58.3,58.3,12.50%,12.50%,12.50%,0.00%,50.00%,20.8
Jordan Clarkson,CLE,28,0.2,1.80%,2.33,0.5,0.2,0.2,83.3,108.3,16.70%,0.00%,16.70%,16.70%,83.30%,
Dorian Finney-Smith,DAL,21,0.2,2.70%,1.25,0.2,0.1,0.2,50,62.5,0.00%,0.00%,0.00%,0.00%,50.00%,
Alan Williams,PHX,5,2.2,37.90%,0.45,1,0.4,1.8,22.2,22.2,9.10%,9.10%,9.10%,0.00%,27.30%,1
Wes Iwundu,ORL,62,0,0.40%,3,0,0,0,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Dennis Smith Jr.,DAL,69,0,0.20%,1.5,0,0,0,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
D'Angelo Russell,BKN,48,0,0.20%,1.5,0.1,0,0,50,75,0.00%,0.00%,0.00%,0.00%,50.00%,
Jack Cooley,SAC,7,1.3,22.00%,0.67,0.9,0.1,0.9,16.7,16.7,33.30%,0.00%,33.30%,0.00%,44.40%,
Justin Anderson,PHI,38,0,0.40%,2,0.1,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Mangok Mathiang,CHA,39,0,14.30%,2,0.1,0,0,100,100,100.00%,0.00%,100.00%,100.00%,100.00%,
