PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Jonathan Gibson,BOS,4,0.3,3.80%,2,0.5,0.3,0.3,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Aaron Jackson,HOU,1,1,9.10%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Gary Payton II,LAL,11,0.2,4.20%,1,0.2,0.1,0.2,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Kendrick Perkins,CLE,1,1,25.00%,1,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,100.00%,
Isaiah Hicks,NYK,18,0.1,1.00%,0,0,0,0.1,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
MarShon Brooks,MEM,7,5.3,29.10%,1.46,7.7,3,4.9,61.8,75,10.80%,5.40%,10.80%,8.10%,59.50%,99.3
Damyean Dotson,NYK,44,0.2,3.80%,1.43,0.2,0.1,0.1,80,80,28.60%,14.30%,28.60%,14.30%,71.40%,
Dante Exum,UTA,14,0.8,9.00%,0.91,0.7,0.3,0.6,50,50,9.10%,18.20%,9.10%,0.00%,45.50%,63.2
Wade Baldwin IV,POR,7,1,24.10%,1.14,1.1,0.6,0.9,66.7,66.7,0.00%,14.30%,0.00%,0.00%,57.10%,
Cheick Diallo,NOP,52,0.1,2.60%,1,0.1,0.1,0.1,60,60,0.00%,16.70%,0.00%,0.00%,50.00%,
Dorian Finney-Smith,DAL,21,0.3,4.70%,0.71,0.2,0.1,0.2,50,50,14.30%,28.60%,14.30%,0.00%,42.90%,
Abdel Nader,BOS,47,0.1,2.50%,1,0.1,0,0.1,50,50,20.00%,0.00%,20.00%,0.00%,60.00%,
Nigel Hayes,SAC,5,0.6,10.00%,1.33,0.8,0.4,0.6,66.7,66.7,0.00%,0.00%,0.00%,0.00%,66.70%,
Josh Magette,ATL,17,0.1,3.40%,1,0.1,0.1,0.1,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Jalen Jones,DAL,12,0.3,3.80%,0.67,0.2,0.1,0.1,100,100,33.30%,33.30%,33.30%,0.00%,33.30%,
Johnathan Motley,DAL,11,0.5,6.20%,0.33,0.2,0.1,0.5,20,20,0.00%,16.70%,0.00%,0.00%,16.70%,
