PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Chinanu Onuaku,HOU,1,1,12.50%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Kendrick Perkins,CLE,1,1,25.00%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Omari Johnson,MEM,4,0.3,4.20%,0,0,0,0.3,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Johnathan Motley,DAL,11,1.6,18.60%,1,1.6,0.6,1.1,58.3,58.3,22.20%,11.10%,11.10%,0.00%,55.60%,83.3
Cheick Diallo,NOP,52,0.2,5.20%,0.83,0.2,0.1,0.2,55.6,55.6,0.00%,25.00%,0.00%,0.00%,41.70%,41.4
Jack Cooley,SAC,7,0.7,12.20%,1.6,1.1,0.6,0.7,80,80,0.00%,0.00%,0.00%,0.00%,80.00%,
Reggie Jackson,DET,45,0.1,0.50%,1.5,0.1,0,0.1,66.7,66.7,25.00%,0.00%,25.00%,0.00%,75.00%,
Nigel Hayes,SAC,5,1,16.70%,0.8,0.8,0.4,0.8,50,50,20.00%,0.00%,20.00%,0.00%,40.00%,
Jamel Artis,ORL,15,0.2,3.20%,1,0.2,0.1,0.1,50,50,33.30%,33.30%,33.30%,33.30%,33.30%,
Abdel Nader,BOS,47,0.1,2.00%,0.75,0.1,0,0,0,0,50.00%,25.00%,50.00%,0.00%,50.00%,
Alec Peters,PHX,20,0.1,1.20%,2,0.1,0.1,0.1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Sam Dekker,LAC,73,0,0.30%,2,0,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Travis Wear,LAL,17,0.3,6.10%,0.8,0.2,0.1,0.3,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Ian Clark,NOP,74,0,0.20%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Danuel House,PHX,23,0,0.70%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Sindarius Thornwell,LAC,73,0,0.30%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
MarShon Brooks,MEM,7,0.3,1.60%,0,0,0,0.1,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Alan Williams,PHX,5,0.8,13.80%,0,0,0,0.6,0,0,0.00%,25.00%,0.00%,0.00%,0.00%,
Austin Rivers,LAC,61,0,0.10%,2,0,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Jameel Warney,DAL,2,2,30.80%,0.5,1,0.5,1.5,33.3,33.3,0.00%,25.00%,0.00%,0.00%,25.00%,
Luke Kennard,DET,73,0,0.40%,2.5,0.1,0,0,100,100,50.00%,0.00%,50.00%,50.00%,100.00%,
Gerald Green,HOU,41,0.1,0.90%,1.5,0.1,0.1,0.1,75,75,0.00%,0.00%,0.00%,0.00%,75.00%,
CJ McCollum,POR,81,0,0.10%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Cedi Osman,CLE,61,0,0.80%,0,0,0,0,0,0,0.00%,50.00%,0.00%,0.00%,0.00%,
Juancho Hernangomez,DEN,25,0,1.10%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Luke Kornet,NYK,20,0.5,7.00%,0.6,0.3,0.2,0.4,42.9,42.9,0.00%,30.00%,0.00%,0.00%,30.00%,8.4
Bruno Caboclo,SAC,10,0.6,17.10%,1,0.6,0.2,0.5,40,40,16.70%,0.00%,16.70%,0.00%,50.00%,
Glenn Robinson III,IND,22,0,1.10%,2,0.1,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Dante Cunningham,BKN,22,0.2,2.50%,0.5,0.1,0,0.1,33.3,33.3,0.00%,25.00%,0.00%,0.00%,25.00%,
Joe Young,IND,53,0,0.40%,1,0,0,0,0,0,100.00%,0.00%,100.00%,0.00%,100.00%,
Yogi Ferrell,DAL,82,0,0.10%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Emeka Okafor,NOP,26,0.5,11.90%,0.57,0.3,0.2,0.4,36.4,36.4,0.00%,21.40%,0.00%,0.00%,28.60%,6.4
Jabari Parker,MIL,31,0.4,3.00%,1,0.4,0.2,0.3,60,60,0.00%,16.70%,0.00%,0.00%,50.00%,83.3
Isaiah Hicks,NYK,18,0.7,13.40%,1,0.7,0.3,0.5,55.6,55.6,15.40%,15.40%,15.40%,0.00%,53.80%,83.3
Tim Hardaway Jr.,NYK,59,0,0.10%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Justin Jackson,SAC,68,0,0.40%,2,0.1,0,0,100,100,50.00%,0.00%,0.00%,0.00%,100.00%,
Khem Birch,ORL,42,0.4,8.50%,0.6,0.2,0.1,0.2,37.5,37.5,20.00%,26.70%,20.00%,0.00%,40.00%,8.4
Wes Iwundu,ORL,62,0,0.70%,0.5,0,0,0,0,0,50.00%,0.00%,0.00%,0.00%,50.00%,
Mario Chalmers,MEM,66,0,0.30%,1,0,0,0,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Ivan Rabb,MEM,36,0.8,14.90%,0.77,0.6,0.3,0.7,44,44,3.30%,16.70%,3.30%,3.30%,36.70%,26.6
Trey Burke,NYK,36,0,0.20%,2,0.1,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Tyrone Wallace,LAC,30,0.2,1.80%,1,0.2,0.1,0.1,66.7,66.7,16.70%,33.30%,16.70%,0.00%,50.00%,
Reggie Bullock,DET,62,0,0.20%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
J.J. Barea,DAL,69,0,0.20%,1,0,0,0,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Salah Mejri,DAL,61,0.1,4.40%,1.33,0.2,0.1,0.1,66.7,66.7,0.00%,0.00%,0.00%,0.00%,66.70%,
Spencer Dinwiddie,BKN,80,0,0.20%,1,0,0,0,100,100,50.00%,0.00%,50.00%,0.00%,50.00%,
Zach LaVine,CHI,24,0.2,1.10%,0.8,0.2,0.1,0.2,40,40,0.00%,0.00%,0.00%,0.00%,40.00%,
Tarik Black,HOU,51,0.1,3.70%,0.29,0,0,0,0,0,42.90%,42.90%,42.90%,0.00%,28.60%,
Evan Fournier,ORL,57,0.1,0.30%,0,0,0,0,0,0,0.00%,33.30%,0.00%,0.00%,0.00%,
Trevor Ariza,HOU,67,0,0.10%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Shelvin Mack,ORL,69,0,0.40%,1,0,0,0,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Pat Connaughton,POR,82,0,0.20%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,
Tyler Cavanaugh,ATL,39,0,0.60%,1,0,0,0,0,0,100.00%,0.00%,100.00%,0.00%,100.00%,
Jamal Murray,DEN,81,0,0.30%,1,0,0,0,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
T.J. McConnell,PHI,76,0,0.20%,2,0,0,0,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Donovan Mitchell,UTA,79,0,0.20%,1,0,0,0,33.3,33.3,33.30%,0.00%,33.30%,33.30%,33.30%,
