PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Jonathan Gibson,BOS,4,1.3,19.20%,2,2.5,1,1.3,80,100,0.00%,0.00%,0.00%,0.00%,80.00%,
Gary Payton II,LAL,11,1,22.90%,0.73,0.7,0.3,0.6,42.9,50,18.20%,18.20%,0.00%,0.00%,36.40%,5.2
Chinanu Onuaku,HOU,1,2,25.00%,1,2,1,1,100,100,0.00%,50.00%,0.00%,0.00%,50.00%,
Kendrick Perkins,CLE,1,1,25.00%,0,0,0,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,
Damyean Dotson,NYK,44,0.8,20.00%,1.03,0.9,0.3,0.7,46.9,48.4,13.50%,8.10%,13.50%,8.10%,45.90%,36.3
Cheick Diallo,NOP,52,0.5,10.40%,1.42,0.7,0.3,0.4,71.4,71.4,16.70%,4.20%,16.70%,8.30%,70.80%,95
Dante Exum,UTA,14,1.8,20.50%,1.08,1.9,0.4,0.9,46.2,46.2,32.00%,16.00%,24.00%,0.00%,56.00%,49.1
MarShon Brooks,MEM,7,2.9,15.70%,1.3,3.7,1.3,2,64.3,71.4,20.00%,15.00%,20.00%,5.00%,60.00%,86.3
Johnathan Motley,DAL,11,0.9,10.30%,1.2,1.1,0.5,0.7,62.5,62.5,20.00%,0.00%,20.00%,0.00%,70.00%,69.4
Aaron Harrison,DAL,9,1.3,15.00%,0.92,1.2,0.3,1.1,30,40,16.70%,0.00%,16.70%,0.00%,41.70%,17.6
Briante Weber,MEM,5,2.2,34.40%,0.64,1.4,0.6,1.8,33.3,33.3,9.10%,9.10%,0.00%,0.00%,36.40%,2.5
Antonius Cleveland,ATL,4,0.5,15.40%,3,1.5,0.5,0.5,100,150,0.00%,0.00%,0.00%,0.00%,100.00%,
Andre Ingram,LAL,2,4,38.10%,1.13,4.5,1.5,3,50,66.7,12.50%,25.00%,12.50%,12.50%,37.50%,
Jalen Jones,DAL,12,0.8,11.50%,0.44,0.3,0.1,0.6,14.3,14.3,22.20%,0.00%,22.20%,0.00%,33.30%,
Jack Cooley,SAC,7,0.1,2.40%,3,0.4,0.1,0.1,100,100,100.00%,0.00%,100.00%,100.00%,100.00%,
