PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Aaron Brooks,MIN,32,5.9,0.8,0.3,0.5,50,0.3,0.5,53.3,75
Aaron Gordon,ORL,58,32.9,5.1,1.8,4.7,37.7,1.6,4,39,54.2
Aaron Harrison,DAL,9,25.9,2.7,0.9,4,22.2,0.9,4,22.2,33.3
Abdel Nader,BOS,47,11.1,1.4,0.5,1.4,34.4,0.4,1.3,33.9,50.8
Adreian Payne,ORL,5,8.5,1.6,0.6,1,60,0.4,0.6,66.7,80
Al Horford,BOS,69,31.5,4.9,1.8,4.2,43.3,1.2,3,41.3,58
Al Jefferson,IND,36,13.4,1.5,0.8,1.8,41.5,0,0.1,0,41.5
Al-Farouq Aminu,POR,69,30,5.1,1.7,4.7,36.5,1.7,4.5,37.1,54.5
Alan Williams,PHX,5,14.1,0,0,0.6,0,0,0,0,0
Alec Burks,UTA,64,16.5,1.1,0.4,1.2,30.3,0.4,1.2,31.1,45.4
Alec Peters,PHX,20,11.2,2.7,0.9,2.9,31.6,0.9,2.8,30.9,46.5
Alex Abrines,OKC,73,15.1,3.4,1.2,2.9,39.3,1.1,2.8,40.4,58.4
Alex Caruso,LAL,37,15.2,0.6,0.2,0.7,32,0.2,0.6,31.8,46
Alex Len,PHX,69,20.2,0.4,0.2,0.5,36.1,0,0,33.3,37.5
Alex Poythress,IND,25,4.2,0.5,0.2,0.5,33.3,0.2,0.4,36.4,50
Alfonzo McKinnie,TOR,14,3.8,0.4,0.1,0.6,25,0.1,0.6,25,37.5
Allen Crabbe,BKN,73,29.2,7.4,2.5,6.3,39.3,2.4,6,40.1,58.4
Amir Johnson,PHI,74,15.8,0.5,0.2,0.5,36.8,0.1,0.4,33.3,50
Andre Drummond,DET,78,33.7,0.1,0.1,0.3,25,0,0.1,0,25
Andre Iguodala,GSW,64,25.4,1.3,0.5,1.8,28.6,0.3,1.4,25,38.4
Andre Ingram,LAL,2,32.1,7.5,2.5,4,62.5,2.5,4,62.5,93.8
Andre Roberson,OKC,37,26.6,0.6,0.2,0.9,22.9,0.2,0.9,23.5,34.3
Andrew Bogut,LAL,24,9,0.2,0.1,0.1,66.7,0,0,0,66.7
Andrew Harrison,MEM,56,23.7,1.6,0.6,1.7,32.3,0.5,1.6,32.2,47.4
Andrew White III,ATL,15,13.9,3,1,3.1,32.6,1,2.9,34.9,48.9
Andrew Wiggins,MIN,82,36.3,3.6,1.3,3.5,35.9,1.1,3.2,35.4,51.9
Ante Zizic,CLE,32,6.7,0.1,0,0.2,20,0,0,0,20
Anthony Brown,MIN,1,3.7,3,1,1,100,1,1,100,150
Anthony Davis,NOP,75,36.4,3.2,1.3,3.7,34.9,0.6,1.9,32.6,43.2
Anthony Tolliver,DET,79,22.2,6,2,4.6,44,2,4.5,44.1,65.8
Antonio Blakeney,CHI,19,16.5,1.7,0.6,1.7,34.4,0.5,1.5,35.7,50
Antonius Cleveland,ATL,17,7.2,0.5,0.2,0.4,42.9,0.1,0.2,66.7,57.1
Aron Baynes,BOS,78,18.4,2,1,2.1,46.9,0,0.3,14.3,47.8
Arron Afflalo,ORL,53,12.9,1.6,0.5,1.5,37.2,0.5,1.1,41.7,53.2
Austin Rivers,LAC,61,33.7,3,1,2.7,37,1,2.6,37.5,55.6
Avery Bradley,LAC,46,31.2,5.2,1.9,5.2,36.4,1.5,3.7,39,50.4
Bam Adebayo,MIA,68,19.8,0.3,0.1,0.5,25.7,0,0.1,0,25.7
Ben McLemore,MEM,56,19.5,2.7,0.9,2.7,35.6,0.8,2.2,38.2,51.3
Ben Moore,IND,2,4.6,0,0,0,0,0,0,0,0
Ben Simmons,PHI,80,33.8,0.1,0,0.2,16.7,0,0.1,0,16.7
Bismack Biyombo,ORL,82,18.2,0.4,0.2,0.5,33.3,0,0,0,33.3
Blake Griffin,DET,58,34,4.2,1.5,4.2,35.8,1.2,3.3,36.3,50
Boban Marjanovic,LAC,39,8.7,0.4,0.2,0.5,38.9,0,0,0,38.9
Bobby Brown,HOU,20,5.7,0.5,0.2,0.7,23.1,0.2,0.7,23.1,34.6
Bobby Portis,CHI,73,22.5,4.4,1.7,4.2,40.1,1.1,3,36.1,52.8
Bogdan Bogdanovic,SAC,78,27.9,3.8,1.3,3.3,40.9,1.1,2.8,39.7,57.8
Bojan Bogdanovic,IND,80,30.8,5.2,1.8,4.4,40.6,1.6,4.1,39.6,58.9
Bradley Beal,WAS,82,36.3,5.6,2,4.6,43.2,1.7,4,42.2,61.6
Brandan Wright,HOU,28,13.6,0.2,0.1,0.2,60,0,0,0,60
Brandon Ingram,LAL,59,33.5,2.5,0.9,2.3,40.9,0.6,1.6,39.4,54.4
Brandon Jennings,MIL,14,14.7,0.9,0.3,1.5,19,0.3,1.4,20,28.6
Brandon Paul,SAS,64,9,0.8,0.3,0.8,32.1,0.2,0.7,31.9,46.2
Briante Weber,MEM,18,13.1,0.2,0.1,0.2,33.3,0.1,0.2,33.3,50
Brice Johnson,MEM,18,5.4,0.3,0.2,0.7,25,0,0.1,0,25
Brook Lopez,LAL,74,23.4,4.7,1.6,4.7,34.6,1.4,4.2,34.1,49.6
Bruno Caboclo,SAC,12,8.9,1.1,0.4,1.8,22.7,0.3,1.4,17.6,29.5
Bryn Forbes,SAS,80,19,2.9,1,2.7,36.3,0.9,2.4,38.7,53.7
Buddy Hield,SAC,80,25.3,4.8,1.7,3.4,49.4,1.5,2.9,49.6,71
C.J. Williams,LAC,38,18.6,1.4,0.5,1.7,31.3,0.4,1.4,25.9,42.2
CJ McCollum,POR,81,36.1,4.1,1.4,3.4,42,1.2,2.8,43,59.8
CJ Miles,TOR,70,19.1,6.1,2,5.7,35.4,2,5.6,35.7,53
Caleb Swanigan,POR,27,7,0.3,0.1,0.5,28.6,0,0.3,12.5,32.1
Cameron Payne,CHI,25,23.3,2.3,0.8,1.7,46.5,0.7,1.6,43.9,67.4
Caris LeVert,BKN,69,26.1,2.5,0.8,2.2,37.4,0.8,2.2,37.3,55.5
Carmelo Anthony,OKC,76,32,7.2,2.6,6.7,39.2,1.9,5.1,37.2,53.4
Cedi Osman,CLE,61,11,1.4,0.5,1.3,35.8,0.5,1.3,37.2,53.7
Chandler Parsons,MEM,36,19.2,3.1,1,2.6,40.2,1,2.3,42.9,59.8
Channing Frye,LAL,53,13.1,2.6,0.9,2.6,36.8,0.7,2,34.3,50.4
Charles Cooke,NOP,13,2.9,0.2,0.1,0.5,16.7,0.1,0.5,16.7,25
Cheick Diallo,NOP,52,11.2,0.5,0.2,0.6,40,0,0,0,40
Chinanu Onuaku,HOU,1,21.6,0,0,1,0,0,0,0,0
Chris Boucher,GSW,1,1.3,0,0,1,0,0,1,0,0
Chris McCullough,WAS,19,4.7,0.3,0.1,0.7,15.4,0.1,0.4,12.5,19.2
Chris Paul,HOU,58,31.8,1.5,0.5,1.4,39.2,0.5,1.2,40.3,56.3
Clint Capela,HOU,74,27.5,0,0,0,50,0,0,0,50
Cody Zeller,CHA,33,19,0.8,0.4,0.8,46.2,0.1,0.1,66.7,50
Cole Aldrich,MIN,21,2.3,0,0,0,0,0,0,0,0
Corey Brewer,OKC,72,16.8,1.3,0.4,1.4,30.4,0.4,1.4,30.7,45.6
Cory Joseph,IND,82,27,2.3,0.8,2.1,37.8,0.7,1.9,37.7,54.7
Courtney Lee,NYK,75,30.4,4,1.4,3.3,43,1.2,2.8,41.8,60.4
Cristiano Felicio,CHI,55,17.8,0.3,0.1,0.5,25.9,0,0,0,25.9
D'Angelo Russell,BKN,48,25.7,3.4,1.2,3.4,34.6,1.1,3.2,34.2,50.6
D.J. Augustin,ORL,75,23.5,2.7,0.9,2.1,43.2,0.9,2,43.8,64.8
D.J. Wilson,MIL,22,3.2,0.3,0.1,0.3,33.3,0.1,0.2,40,50
Dakari Johnson,OKC,30,4.9,0.2,0.1,0.1,75,0,0,0,75
Damian Jones,GSW,15,5.9,0,0,0.3,0,0,0,0,0
Damian Lillard,POR,73,36.6,4.1,1.5,3.7,40.6,1.1,3.1,36.3,55.7
Damien Wilkins,IND,19,8,0.6,0.2,0.9,23.5,0.2,0.9,23.5,35.3
Damion Lee,ATL,15,27,3.5,1.3,3.5,35.8,0.9,3.1,29.8,49.1
Damyean Dotson,NYK,44,10.8,1.5,0.5,1.6,31.9,0.4,1.2,35.3,44.4
Daniel Hamilton,OKC,6,4.6,0.5,0.2,0.5,33.3,0.2,0.5,33.3,50
Daniel Theis,BOS,60,14.9,1.5,0.6,1.5,38,0.3,1,29.3,47.3
Danilo Gallinari,LAC,21,32,5.4,2,5.6,36.8,1.3,4.3,31.1,48.7
Danny Green,SAS,70,25.6,4.4,1.5,4.1,36.4,1.5,3.9,37.6,54.2
Dante Cunningham,BKN,73,21.4,2.7,1,2.7,36,0.8,2.3,34.5,50.5
Dante Exum,UTA,14,16.8,0.9,0.3,0.9,30.8,0.3,0.9,30.8,46.2
Danuel House,PHX,23,17.5,1.4,0.5,2,24.4,0.5,1.8,26.2,36.7
Dario Saric,PHI,77,29.6,6.7,2.4,5.9,39.6,2,5,40.4,56.6
Darius Miller,NOP,82,23.7,4.7,1.6,4,39.6,1.5,3.8,39.4,58.3
Darrell Arthur,DEN,19,7.4,1.9,0.7,1.7,43.8,0.4,1.2,36.4,56.3
Darren Collison,IND,69,29.3,3.1,1.1,2.3,46.5,0.9,1.9,47,66.4
Darrun Hilliard,SAS,14,6.8,0,0,0.4,0,0,0.4,0,0
David Nwaba,CHI,70,23.5,0.8,0.3,0.7,37.5,0.3,0.7,37.5,56.3
David Stockton,UTA,3,3.1,0,0,0.3,0,0,0.3,0,0
David West,GSW,73,13.7,1.9,0.9,2,48.3,0,0.1,33.3,49
Davis Bertans,SAS,77,14.1,3.8,1.3,3.1,41,1.2,3,40.6,60.5
Davon Reed,PHX,21,11.5,1.8,0.6,1.8,34.2,0.5,1.5,35.5,48.7
De'Aaron Fox,SAC,73,27.7,1.2,0.4,1.3,32,0.3,1.1,29.6,44.3
DeAndre Jordan,LAC,77,31.5,0,0,0,0,0,0,0,0
DeAndre Liggins,NOP,57,12.4,0.9,0.3,0.9,36.5,0.3,0.8,35.6,51.9
DeAndre' Bembry,ATL,25,18.2,1.3,0.4,1.1,40.7,0.4,1.1,40.7,61.1
DeMar DeRozan,TOR,80,33.9,2.9,1.1,2.9,37.6,0.7,2.1,35.1,50.2
DeMarcus Cousins,NOP,48,36.2,6.2,2.1,6,35.5,1.9,5.5,35.2,51.6
DeMarre Carroll,BKN,71,29.9,5.3,1.8,4.7,38,1.8,4.6,38.3,56.7
Dejounte Murray,SAS,81,21.5,0.4,0.2,0.5,31,0.1,0.4,27.3,41.7
Delon Wright,TOR,69,20.8,1.9,0.6,1.5,41,0.6,1.5,41.7,61.4
Demetrius Jackson,PHI,15,5.3,0,0,0.3,0,0,0.3,0,0
Dennis Schroder,ATL,66,30.9,2.2,0.8,2.6,31,0.6,2,28.6,42
Dennis Smith Jr.,DAL,69,29.7,2.4,0.8,2.3,35.2,0.8,2.2,36.7,52.5
Denzel Valentine,CHI,77,27.2,3.6,1.2,3.2,38.4,1.2,3,38.4,56.2
Derrick Favors,UTA,77,28,2.1,1,2.8,34.7,0.2,0.8,21.7,37.7
Derrick Jones Jr.,MIA,20,12.3,0.5,0.2,1,15.8,0.2,0.9,16.7,23.7
Derrick Rose,MIN,25,16.8,0.5,0.2,1,16.7,0.2,0.9,17.4,25
Derrick Walton Jr.,MIA,16,9.2,0.9,0.3,0.8,41.7,0.3,0.7,45.5,62.5
Derrick White,SAS,17,8.2,0.7,0.2,0.5,44.4,0.2,0.4,57.1,66.7
Derrick Williams,LAL,2,4.3,0,0,1,0,0,1,0,0
Devin Booker,PHX,54,34.5,5,1.8,4.3,42.4,1.4,3.4,41,58.7
Devin Harris,DEN,71,18.9,2.4,0.8,2.1,38.4,0.8,2,37.9,57.2
Devin Robinson,WAS,1,13.2,0,0,1,0,0,0,0,0
Dewayne Dedmon,ATL,61,24.9,3.9,1.5,3.7,41.2,0.8,2.3,35.7,52.2
Deyonta Davis,MEM,62,15.2,0.9,0.4,1.1,39.1,0,0,0,39.1
Dillon Brooks,MEM,82,28.7,3.2,1.1,2.7,40.2,1,2.5,40.3,58.3
Dion Waiters,MIA,29,30.8,4.3,1.5,4.3,34.4,1.3,3.9,33.9,49.6
Dirk Nowitzki,DAL,77,24.7,8,3.1,6.9,45.3,1.7,4.1,42,57.9
Domantas Sabonis,IND,74,24.5,2.1,1,2.5,38.4,0.2,0.5,34.3,41.6
Donovan Mitchell,UTA,79,33.4,3.7,1.2,3,40.4,1.2,3,40.6,60.6
Dorian Finney-Smith,DAL,21,21.3,2.7,0.9,2.9,31.1,0.9,2.8,31,45.9
Doug McDermott,DAL,80,21.7,3.4,1.2,2.8,41.2,1.1,2.4,44.6,60.2
Dragan Bender,PHX,82,25.2,4.3,1.5,4,36.1,1.4,3.9,36.7,53.6
Draymond Green,GSW,70,32.7,3.5,1.2,3.9,31.9,1,3.4,30.8,45.2
Dwayne Bacon,CHA,53,13.5,0.6,0.2,0.7,28.2,0.2,0.7,28.6,41
Dwight Buycks,DET,29,14.7,0.6,0.2,0.6,35.3,0.1,0.5,28.6,47.1
Dwight Howard,CHA,81,30.4,1,0.5,1.5,30.4,0,0.1,16.7,30.8
