PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Aaron Brooks,MIN,32,19,13,5.9,1.8,0.4,0.9,40,0.1,0.1,75,0.8,48.2,0.6,32.1,0.1,5.4,0,1.8,0.1,3.6
Aaron Gordon,ORL,58,19,39,32.9,5.2,0.9,2.5,37.9,0.7,1,70,2.8,53.8,1.2,23.3,0.3,6.6,0.5,9.3,0.5,10
Aaron Harrison,DAL,9,2,7,25.9,2.4,0.4,1.2,36.4,0,0,0,0.9,36.4,0.7,27.3,0.1,4.5,0,0,0,0
Abdel Nader,BOS,47,32,15,11.1,2.2,0.3,1,30.4,0.1,0.1,66.7,0.7,31.1,0.6,29.1,0.2,7.8,0.3,11.7,0.1,2.9
Adreian Payne,ORL,5,0,5,8.5,0.2,0.2,0.2,100,0,0,0,0.4,200,0,0,0,0,0,0,0,0
Al Horford,BOS,69,44,25,31.5,2.9,0.7,1.3,54.5,0.2,0.2,78.6,1.6,53.2,0.9,32,0.3,11.8,0.1,3,0.1,3.4
Al Jefferson,IND,36,17,19,13.4,0.1,0.1,0.1,66.7,0,0,0,0.1,80,0.1,40,0,0,0,0,0,0
Al-Farouq Aminu,POR,69,40,29,30,3.1,0.5,1.2,38.4,0.3,0.4,80.8,1.3,41.8,1,31.5,0.2,7.5,0.3,9.4,0.2,6.1
Alan Williams,PHX,5,1,4,14.1,0.4,0.2,0.2,100,0,0,0,0.4,100,0,0,0,0,0,0,0,0
Alec Burks,UTA,64,37,27,16.5,4.9,0.9,2.4,37.8,0.8,1,82,2.7,55.4,1.1,22.8,0.4,7.4,0.4,8.3,0.5,9.9
Alec Peters,PHX,20,2,18,11.2,0.3,0,0,0,0,0.1,0,0,0,0.2,50,0,0,0.1,16.7,0.1,16.7
Alex Abrines,OKC,73,42,31,15.1,0.9,0.1,0.3,41.7,0.2,0.2,100,0.5,47.8,0.3,36.2,0,4.3,0.1,10.1,0.1,8.7
Alex Caruso,LAL,37,16,21,15.2,2.6,0.4,1,42.1,0.1,0.2,50,1,37.9,0.9,34.7,0.3,11.6,0.2,6.3,0.1,3.2
Alex Len,PHX,69,20,49,20.2,0.4,0.2,0.3,66.7,0.1,0.1,50,0.5,110.3,0,3.4,0,3.4,0,6.9,0.1,13.8
Alex Poythress,IND,25,10,15,4.2,0.2,0,0.2,25,0,0,0,0.1,40,0,0,0,20,0,0,0,0
Alfonzo McKinnie,TOR,14,13,1,3.8,0.4,0.1,0.2,66.7,0,0,0,0.3,66.7,0.1,16.7,0,0,0.1,33.3,0,0
Allen Crabbe,BKN,73,24,49,29.2,3.2,0.8,1.5,48.7,0.3,0.3,86.4,1.8,56,1,32.3,0.2,5.6,0.2,5.2,0.2,5.2
Amir Johnson,PHI,74,47,27,15.8,0.4,0.1,0.3,52.6,0.1,0.1,66.7,0.3,82.8,0.1,17.2,0,3.4,0,0,0,10.3
Andre Drummond,DET,78,37,41,33.7,2.1,0.4,1.2,34.4,0.4,0.8,50,1.3,62.5,0.2,8.8,0,1.9,0.1,6.3,0.4,20.6
Andre Iguodala,GSW,64,46,18,25.4,1.8,0.3,0.6,40,0.2,0.2,71.4,0.7,37.1,0.6,35.3,0.2,10.3,0.2,9.5,0.1,6
Andre Ingram,LAL,2,1,1,32.1,2.5,0.5,1.5,33.3,0,0,0,1,40,0,0,0,0,0,0,0,0
Andre Roberson,OKC,37,24,13,26.6,0.5,0.1,0.2,25,0.1,0.1,100,0.2,31.6,0.1,26.3,0,5.3,0.1,21.1,0,5.3
Andrew Bogut,LAL,24,7,17,9,0.1,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0
Andrew Harrison,MEM,56,17,39,23.7,8.8,1.4,2.9,47.5,1,1.1,87.5,3.9,44.4,3.5,39.9,0.8,9,0.6,6.7,0.6,6.5
Andrew White III,ATL,15,1,14,13.9,1.2,0.2,0.5,42.9,0,0.1,0,0.4,33.3,0.4,33.3,0.1,5.6,0.1,11.1,0.1,5.6
Andrew Wiggins,MIN,82,47,35,36.3,7.7,1.7,3.7,45.1,1,1.4,67.2,4.4,56.8,2,26.1,0.4,5.7,0.5,7,0.7,9.3
Ante Zizic,CLE,32,21,11,6.7,0.1,0,0,0,0,0.1,50,0,50,0,0,0,0,0,0,0,50
Anthony Brown,MIN,1,0,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,NOP,75,45,30,36.4,4.1,1.1,2.4,45.3,1,1.1,91.7,3.3,80.3,0.5,12.9,0.1,3.2,0.3,6.8,0.6,13.9
Anthony Tolliver,DET,79,37,42,22.2,1.2,0.3,0.5,55,0.2,0.3,75,0.8,68,0.3,26.8,0.1,6.2,0.1,6.2,0.2,12.4
Antonio Blakeney,CHI,19,3,16,16.5,2.8,0.5,1.6,29,0.2,0.3,50,1.2,40.7,0.6,22.2,0.4,13,0,0,0.2,5.6
Antonius Cleveland,ATL,17,7,10,7.2,0.9,0,0.3,0,0.2,0.4,66.7,0.2,26.7,0.2,20,0.1,13.3,0.1,13.3,0.2,20
Aron Baynes,BOS,78,51,27,18.4,0.1,0,0.1,20,0,0,100,0.1,44.4,0,22.2,0,0,0,11.1,0,11.1
Arron Afflalo,ORL,53,16,37,12.9,1,0.2,0.3,47.1,0.1,0.1,100,0.4,38.5,0.5,46.2,0.1,9.6,0.1,5.8,0,3.8
Austin Rivers,LAC,61,30,31,33.7,12.4,2.5,5.7,43,1,1.4,67.4,6,48.4,3.8,31,1.1,8.6,0.6,5.2,0.7,5.7
Avery Bradley,LAC,46,22,24,31.2,4.4,1.1,2.6,40.8,0.3,0.5,63.6,2.5,56.7,0.9,20.2,0.2,3.4,0.4,9.9,0.2,5.4
Bam Adebayo,MIA,68,33,35,19.8,0.8,0.2,0.4,46.7,0.2,0.3,88.9,0.7,83.3,0.1,13,0,3.7,0,1.9,0.1,16.7
Ben McLemore,MEM,56,7,49,19.5,2,0.4,1,44.4,0.3,0.3,100,1.2,57,0.5,25.4,0.1,7,0.2,7.9,0.1,7
Ben Moore,IND,2,1,1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,PHI,80,51,29,33.8,15.5,2.9,6.2,46.5,0.7,1.3,53.3,6.5,41.8,5.9,38,1.5,9.9,0.8,5.1,0.7,4.3
Bismack Biyombo,ORL,82,25,57,18.2,0.1,0,0.1,28.6,0,0,0,0,36.4,0,18.2,0,0,0,18.2,0,0
Blake Griffin,DET,58,28,30,34,7,1.7,3.6,48.8,1,1.3,76,4.6,65.9,1.4,20,0.6,9.1,0.4,6.4,0.7,9.4
Boban Marjanovic,LAC,39,18,21,8.7,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Bobby Brown,HOU,20,17,3,5.7,1.1,0.3,0.6,41.7,0.1,0.1,50,0.6,50,0.3,22.7,0.1,4.5,0.2,13.6,0.1,4.5
Bobby Portis,CHI,73,25,48,22.5,2,0.7,1.4,51.5,0.2,0.4,60.7,1.7,85.4,0.2,10.4,0.1,2.8,0.2,7.6,0.2,9.7
Bogdan Bogdanovic,SAC,78,26,52,27.9,6.7,1.3,2.7,47.6,0.3,0.3,80.8,2.9,43.1,2.4,35.8,0.9,12.8,0.4,6.1,0.2,2.5
Bojan Bogdanovic,IND,80,47,33,30.8,4.9,1.2,2.4,50.3,0.7,0.8,83.9,3.1,64.2,1.4,28.1,0.3,6.2,0.3,6.7,0.4,8
Bradley Beal,WAS,82,43,39,36.3,10.4,2.4,4.9,48.8,0.8,1,77.5,5.8,55.3,3,29.3,0.8,8.1,0.7,6.9,0.5,4.7
Brandan Wright,HOU,28,11,17,13.6,0.4,0.1,0.2,40,0.1,0.2,33.3,0.2,60,0,10,0,0,0,10,0.1,30
