PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Aaron Brooks,MIN,32,19,13,5.9,9,10.5,0.6,0,1.3,0.7,7,7.3
Aaron Gordon,ORL,58,19,39,32.9,40.2,32.5,2.3,0.2,4.6,2.7,5.8,6.6
Aaron Harrison,DAL,9,2,7,25.9,19.6,21.1,1.2,0,2.8,1.2,6.3,6.3
Abdel Nader,BOS,47,32,15,11.1,8.7,9.1,0.6,0.1,1.3,0.7,6.4,8.6
Adreian Payne,ORL,5,0,5,8.5,10,6.6,0,0,0.2,0,0,0
Al Horford,BOS,69,44,25,31.5,48.9,43,4.7,0.3,8,5.1,9.5,10.3
Al Jefferson,IND,36,17,19,13.4,19.7,15.6,0.8,0.1,1.6,1,4.2,5.1
Al-Farouq Aminu,POR,69,40,29,30,25,19.1,1.2,0.2,2.6,1.6,4.9,6.3
Alan Williams,PHX,5,1,4,14.1,17.6,15.6,1.6,0,3,2,9.1,11.4
Alec Burks,UTA,64,37,27,16.5,16.8,19.8,1,0.3,2.2,1.4,6.2,8.1
Alec Peters,PHX,20,2,18,11.2,11.9,10,0.6,0.1,0.8,0.7,5.1,5.5
Alex Abrines,OKC,73,42,31,15.1,10,10.1,0.4,0.1,1,0.5,3.6,4.5
Alex Caruso,LAL,37,16,21,15.2,24.1,23.9,2,0.3,4.4,2.4,8.4,10.1
Alex Len,PHX,69,20,49,20.2,23.6,17.2,1.2,0.1,2.6,1.3,5,5.7
Alex Poythress,IND,25,10,15,4.2,3.8,2.4,0.1,0,0.2,0.1,2.1,3.2
Alfonzo McKinnie,TOR,14,13,1,3.8,3.1,3,0.1,0.1,0.2,0.1,2.3,4.5
Allen Crabbe,BKN,73,24,49,29.2,29.8,31.3,1.6,0.4,3.4,2,5.3,6.9
Amir Johnson,PHI,74,47,27,15.8,21.5,17.4,1.6,0.1,2.7,1.7,7.4,7.9
Andre Drummond,DET,78,37,41,33.7,34.9,34.5,3,0.1,5.6,3.2,8.7,9.3
Andre Iguodala,GSW,64,46,18,25.4,36,32.1,3.3,0.5,5.7,4,9.1,11
Andre Ingram,LAL,2,1,1,32.1,23,26.5,3.5,0,4.5,3.5,15.2,15.2
Andre Roberson,OKC,37,24,13,26.6,19.2,12.6,1.2,0.2,1.9,1.5,6.2,7.6
Andrew Bogut,LAL,24,7,17,9,13.3,7.5,0.6,0,1.3,0.7,4.7,5
Andrew Harrison,MEM,56,17,39,23.7,41.8,48.1,3.2,0.7,7,4,7.6,9.7
Andrew White III,ATL,15,1,14,13.9,9.9,10.8,0.4,0,1,0.4,4,4
Andrew Wiggins,MIN,82,47,35,36.3,22.1,31.5,2,0.4,3.7,2.5,8.8,11.1
Ante Zizic,CLE,32,21,11,6.7,5.8,4.1,0.2,0.1,0.3,0.2,2.7,3.8
Anthony Brown,MIN,1,0,1,3.7,4,3,1,0,1,1,25,25
Anthony Davis,NOP,75,45,30,36.4,44.7,44.7,2.3,0.3,4,2.7,5.2,6
Anthony Tolliver,DET,79,37,42,22.2,38.1,20.9,1.1,0.1,2.3,1.3,3,3.3
Antonio Blakeney,CHI,19,3,16,16.5,9,16.1,1.1,0,2.1,1.1,11.7,11.7
