Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Josh Richardson,MIA,24,50,27,23,4.2,1.5,0.5,1.1,42.9,0.1,0.4,27.8,0.4,0.5,88,0.2,0.4,0.6,0.3,0.3,0.2,0.1,0.4,3.1,0,0,0.9
2,Jrue Holiday,NOP,28,48,29,19,4.6,2.8,1.1,2.2,50.5,0.2,0.4,40,0.4,0.7,55.9,0.1,0.5,0.6,0.7,0.3,0.3,0.1,0.4,5.6,3,1,1.2
3,Khris Middleton,MIL,26,47,26,21,3.7,2.3,0.7,1.5,44.3,0.1,0.6,23.1,0.9,1,89.1,0.1,0.6,0.7,0.3,0.2,0,0.1,0.6,3.8,4,0,0.2
3,Allen Crabbe,BKN,26,47,17,30,3.7,1.1,0.3,1,33.3,0.2,0.6,39.3,0.2,0.2,100,0.1,0.5,0.6,0.1,0.2,0.1,0.1,0.3,2.5,0,0,-1.1
5,E'Twaun Moore,NOP,29,46,29,17,4,1,0.4,0.9,46.3,0.1,0.3,25,0.1,0.1,75,0,0.2,0.3,0.2,0.1,0.1,0,0.3,1.8,0,0,1.1
5,DeMarre Carroll,BKN,31,46,17,29,3.6,1.5,0.5,1,46.7,0.2,0.4,55,0.3,0.5,69.6,0.2,0.5,0.8,0.1,0.1,0.2,0,0.5,3.1,11,0,-1.2
5,Russell Westbrook,OKC,29,46,24,22,4.1,3.7,1.4,3.4,41.1,0.2,1.2,20.8,0.7,1,65.2,0.3,1,1.3,0.8,0.4,0.1,0,0.5,6.6,35,14,-0.2
8,LeBron James,CLE,33,45,30,15,3.4,4.4,1.6,2.9,55.8,0.3,1,31.8,0.9,1.3,65,0.2,0.9,1.2,0.7,0.4,0.1,0.1,0.2,7.2,33,12,1.9
8,CJ McCollum,POR,26,45,25,20,3.9,2.4,0.8,2.1,39.8,0.2,0.6,28.6,0.6,0.8,72.2,0.2,0.4,0.5,0.3,0.1,0.1,0,0.4,3.9,1,0,0.2
8,Ben Simmons,PHI,21,45,26,19,3.3,1.6,0.5,0.8,65.7,0,0,0,0.6,1.1,56.3,0.2,0.5,0.6,0.6,0.2,0.3,0,0.5,4.1,23,9,1.2
8,Goran Dragic,MIA,32,45,24,21,4.3,2,0.7,1.6,44.3,0.2,0.4,36.8,0.5,0.6,88.5,0.2,0.6,0.7,0.4,0.2,0.1,0,0.6,3.7,3,0,0.8
12,Carmelo Anthony,OKC,34,44,24,20,3.9,1.3,0.5,1.7,28.9,0.2,0.8,20.6,0.1,0.3,54.5,0.2,0.5,0.7,0.2,0.1,0.1,0.1,0.4,2.8,3,0,0.3
12,Bradley Beal,WAS,25,44,21,23,4.1,2.8,0.9,2.8,30.6,0.2,0.9,20.5,0.9,1.3,70.9,0,0.6,0.6,0.4,0.4,0.2,0,0.4,4.4,3,0,-0.2
14,Paul George,OKC,28,42,22,20,4,2.1,0.5,1.3,38.2,0.3,0.7,39.3,0.9,1,83.7,0.1,0.5,0.5,0.2,0.2,0.2,0,0.4,3.6,3,0,-0.3
14,Jayson Tatum,BOS,20,42,26,16,3.4,1.9,0.7,1.2,58.8,0.1,0.2,60,0.3,0.4,80,0,0.6,0.7,0.2,0.3,0.1,0.1,0.3,3.3,3,0,0.3
16,DeMar DeRozan,TOR,28,41,23,18,3.9,4.2,1.3,2.9,44.5,0.1,0.4,33.3,1.5,1.9,81.6,0.2,0.5,0.6,0.4,0.3,0.1,0,0.2,5.8,0,0,0.4
16,Victor Oladipo,IND,26,41,24,17,3.5,3.5,1.1,2.5,44.6,0.4,1.2,33.3,0.9,1.1,84.4,0.1,0.5,0.6,0.3,0.5,0.2,0.1,0.5,5.2,3,0,1.6
16,Karl-Anthony Towns,MIN,22,41,22,19,4,1.3,0.5,1.2,41.7,0.2,0.4,38.9,0.1,0.2,75,0.2,0.8,1,0.2,0.1,0,0.2,0.5,3.3,34,0,0
16,Harrison Barnes,DAL,26,41,9,32,3.5,2.2,0.8,1.8,43.2,0.1,0.5,27.3,0.5,0.7,70.4,0.1,0.6,0.7,0.2,0.3,0.1,0,0.3,3.3,4,0,-2.7
16,Andrew Wiggins,MIN,23,41,21,20,4.2,1.8,0.6,1.5,43.3,0.1,0.4,31.3,0.4,0.6,65.4,0.2,0.4,0.6,0.1,0.1,0,0.1,0.3,2.9,1,0,-0.4
16,Anthony Davis,NOP,25,41,27,14,4.6,3.4,1.2,2.3,51.6,0,0.2,0,1.1,1.3,84.6,0.3,1.1,1.4,0.2,0.2,0.2,0.3,0.2,6.7,29,0,2.1
16,Eric Bledsoe,MIL,28,41,22,19,3.9,2.8,0.9,1.9,46.2,0.2,0.8,31.3,0.8,1,77.5,0.1,0.4,0.6,0.4,0.5,0.2,0.1,0.5,4.7,2,0,0.4
16,Bojan Bogdanovic,IND,29,41,25,16,2.9,1.1,0.3,0.6,50,0.1,0.3,38.5,0.4,0.4,93.8,0,0.5,0.5,0,0.1,0.1,0,0.3,1.9,0,0,1.5
16,Giannis Antetokounmpo,MIL,23,41,23,18,3.6,2.8,1,1.7,58.6,0,0.2,11.1,0.7,1,73.2,0.2,0.9,1.2,0.4,0.2,0.2,0.2,0.5,5.8,27,0,0.7
16,Spencer Dinwiddie,BKN,25,41,17,24,3.9,2.5,0.8,2.3,34,0.2,1,17.1,0.8,1,74.4,0.2,0.4,0.7,0.6,0.2,0.1,0.1,0.5,4.6,7,0,-0.6
16,Will Barton,DEN,27,41,21,20,4,2.1,0.6,1.5,37.7,0.2,0.6,28,0.8,0.9,94.3,0.1,0.4,0.5,0.3,0.3,0.1,0.1,0.2,3.4,2,0,0.6
16,Tobias Harris,LAC,25,41,18,23,3.1,1.1,0.4,1.1,40,0.1,0.4,27.8,0.1,0.1,100,0.1,0.5,0.6,0.2,0.1,0.1,0,0.2,2.3,1,0,-1
