Play_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
1,Naz Mitrou-Long,UTA,24,1,0,1,0.5,266,0,266,0,0,0,0,0,0,0,150,150,53.2,133.78,60
2,Trey McKinney-Jones,IND,27,1,1,0,1.2,138.9,138.9,0,0,0,0,0,0,0,0,0,0,0,112.09,0
3,Justin Patton,MIN,21,1,0,1,3.7,135.1,93.4,41.8,0,0,0,0,0,0,0,50,50,22.5,119.06,5.7
3,Anthony Brown,MIN,25,1,0,1,3.7,135.1,93.4,41.8,33.3,0,50,0,0,0,0,150,150,11.3,119.06,22.9
5,Matt Williams Jr.,MIA,24,3,1,2,3.8,131.3,56.3,75,0,0,0,0,9.1,5.6,14.3,41.7,41.7,30.3,95.07,0
6,Matt Costello,SAS,24,4,2,2,8.1,127.8,103.4,24.3,7.1,2,28.6,4.3,30.8,18.4,14.3,50,50,7.3,94.81,5.7
7,Kendrick Perkins,CLE,33,1,0,1,14.5,123.4,116.6,6.8,18.2,2,34,0,10,5.3,17,50,52.1,11.5,103.18,4.2
8,Omari Johnson,MEM,29,4,1,3,18.8,123.2,119,4.2,10.6,2.33,22.6,6.8,11.7,9.2,9.7,52.4,52.4,14,98.12,5.3
9,Marcus Paige,CHA,24,5,4,1,5.6,120.7,110.9,9.8,14.3,0,16.8,0,17.4,7.8,0,35.7,40.3,22.8,96.08,7.7
10,Stephen Curry,GSW,30,51,41,10,32,120.4,105.7,14.7,27.2,2.03,21.2,2.7,14.1,8.9,10.5,61.8,67.5,29.7,106.01,16.5
11,Zaza Pachulia,GSW,34,69,47,22,14.1,116.7,105.5,11.2,14.1,1.51,22.4,11,25.3,18.6,14.8,56.4,61.2,16.8,102.62,10.6
12,Chris Paul,HOU,33,58,50,8,31.8,116.6,103.8,12.8,38.9,3.57,30.9,2.3,17,9.7,8.6,55,60.4,24.8,98.39,16.6
13,Eric Gordon,HOU,29,69,55,14,31.2,115.7,102.6,13.1,11.3,1.18,11.3,1.3,7.4,4.4,9.6,54,57.8,24.4,100.64,9
14,Kevin Durant,GSW,29,68,49,19,34.2,115.6,106.8,8.8,24.3,1.77,18.6,1.6,19.2,11.1,10.5,58.6,64,29.9,103.3,16.8
15,Nene,HOU,35,52,42,10,14.6,115.5,98.4,17.1,9.3,1.18,12.2,8.4,17.9,13.3,10.3,56.9,59.4,18.8,101.74,9.2
16,Jordan Bell,GSW,23,57,43,14,14.2,115,103,11.9,16.6,2,28.5,9.1,18.1,14.1,14.3,62.7,64.1,13.9,101.57,11.1
17,James Harden,HOU,28,72,59,13,35.4,114.6,104.7,9.9,44.9,2,23.2,1.9,15.3,8.8,11.6,54.1,61.9,36.1,99.69,19.4
18,Darrun Hilliard,SAS,25,14,8,6,6.8,114.5,111.5,3,14.7,2.75,29.7,0,8.6,4.5,10.8,26.3,36.2,12.5,95.62,2.6
19,Nicolas Brussino,ATL,25,4,0,4,2.5,114.3,40.5,73.8,0,0,0,0,23.1,16.7,0,0,0,8.7,100.84,4.1
20,Jonathan Gibson,BOS,30,4,2,2,10,114,113,1,14.8,1.33,13.3,0,8.3,4.3,10,73.9,73.9,28.6,104.31,11.5
21,Jordan Crawford,NOP,29,5,3,2,10.7,114,128.6,-14.7,35.1,2.6,28.6,3.8,4.1,4,11,59.3,60.1,24.1,107.27,9
22,PJ Tucker,HOU,33,82,65,17,27.8,113.7,102.9,10.8,4.7,1.04,12.5,4.7,18.1,11.5,12,52,53.7,10.5,99.55,5.9
23,Karl-Anthony Towns,MIN,22,82,47,35,35.6,113.6,107.7,5.9,10.5,1.25,11.7,9.5,30.4,20.1,9.3,59.6,64.6,22.9,97.61,16.5
24,Klay Thompson,GSW,28,73,55,18,34.3,113.4,103.7,9.7,10.8,1.45,12.1,1.5,10.1,6.2,8.3,58.5,59.8,23.7,101.92,10.3
25,Jimmy Butler,MIN,28,59,37,22,36.7,113.3,105.1,8.3,20.4,2.67,19.1,4.3,12.6,8.4,7.2,51.2,59,25.1,96.92,15.1
26,Jabari Bird,BOS,23,13,8,5,8.8,113.3,102.3,11,9.9,1,16.8,5.7,11.1,8.6,16.8,63.5,61.5,15,98.41,7.6
27,Clint Capela,HOU,24,74,62,12,27.5,113.2,104.1,9.2,5.5,0.66,7.1,13.2,30.7,22,10.7,65.2,65,19.4,98.83,15.5
28,Jamal Murray,DEN,21,81,46,35,31.7,113,109.7,3.3,15.9,1.59,16.9,3.7,9.7,6.7,10.6,52.9,57.6,23.1,98.37,9.6
29,LeBron James,CLE,33,82,50,32,36.9,112.7,110.9,1.7,43.2,2.15,25.7,3.7,22.5,13.3,11.9,59,62.1,31.6,100.1,19.1
30,Draymond Green,GSW,28,70,48,22,32.7,112.7,103.7,8.9,28.6,2.51,36.2,4,21.1,13.2,14.4,51.6,55.6,17.2,102.99,11.7
31,Nikola Jokic,DEN,23,75,43,32,32.6,112.6,108,4.6,28.6,2.18,25.2,9.2,28.2,18.7,11.6,55.4,60.3,24.2,98.04,16.9
32,Ryan Anderson,HOU,30,66,52,14,26.1,112.6,106.5,6.1,5,1.43,9.6,6.1,15.6,10.8,6.7,56.8,59.2,14.3,100.23,7.7
33,Kevon Looney,GSW,22,66,45,21,13.8,112.4,103.8,8.6,6.2,1.35,14,10.6,15.7,13.3,10.3,58.3,58.8,12.5,100.3,7.9
34,OG Anunoby,TOR,20,74,51,23,20,112.4,102.2,10.2,4.9,1.22,11.6,3.5,10,6.9,9.5,57.7,58.7,12.4,100.23,5.6
35,Channing Frye,LAL,35,53,28,25,13.1,112.4,104.5,7.9,7.7,1.81,13.6,2,18.8,10.9,7.5,58.3,59.9,15.5,99.81,9.2
36,MarShon Brooks,MEM,29,7,2,5,27.5,112.4,115.7,-3.4,20.5,1.56,16.3,4.7,8.7,6.6,10.4,59.3,62.9,28.1,99.26,14.7
37,DeMar DeRozan,TOR,28,80,57,23,33.9,112.2,105.4,6.8,24.5,2.38,18.5,2.5,10.2,6.4,7.8,48.8,55.5,29.2,100.84,13.5
38,Kevin Love,CLE,29,59,37,22,28,112.2,111.3,0.9,9.9,1.14,9.9,7.1,29.9,18.7,8.7,55.2,61.4,25.2,98.96,15
39,Trevor Ariza,HOU,32,67,51,16,33.9,112.1,104.3,7.8,6.7,2.02,12.4,1.6,13,7.3,6.1,54.2,56.7,14.3,100.43,7.7
40,Rodney McGruder,MIA,26,18,11,7,16.6,112,105.9,6.1,7.5,4.25,17.4,3.9,8.5,6,4.1,59.6,59.5,11.8,97.13,6.5
41,Fred VanVleet,TOR,24,76,55,21,20,112,99.9,12.1,23.1,3.28,26.8,1.9,11.9,6.9,8.2,52.5,55.6,19.4,98.48,11.1
42,Boban Marjanovic,LAC,29,39,18,21,8.7,111.8,105.4,6.5,10,0.61,8.8,17.2,30.8,24.4,14.5,53.4,61.6,28.6,100.52,16.6
43,Serge Ibaka,TOR,28,76,53,23,27.5,111.8,104.7,7.2,4.4,0.69,6.3,4.3,20.3,12.6,9.1,55.2,57.4,19.2,100.81,9.8
44,Tyus Jones,MIN,22,82,47,35,17.9,111.8,105.7,6.1,21.5,3.93,35.4,1.2,9.4,5.2,9,52.6,57.2,12.9,96.79,9
45,Jose Calderon,CLE,36,57,33,24,16,111.8,108.7,3.1,17.5,2.85,32.8,1.8,8.7,5.3,11.5,62.4,64.3,12.1,96.71,6.7
46,Luc Mbah a Moute,HOU,31,61,52,9,25.6,111.8,101.2,10.6,5.2,0.81,10.8,1.7,11.3,6.7,13.3,57.2,59.5,13.1,98.95,6.7
47,Taj Gibson,MIN,33,82,47,35,33.2,111.8,107.1,4.7,5.1,1.11,9.8,8.1,16.4,12.3,8.8,58.1,61,14.7,98.46,9.4
48,Jonas Valanciunas,TOR,26,77,56,21,22.4,111.7,106,5.8,7.5,0.7,8.3,12.2,29.1,21,11.8,59,62.8,22.5,100.13,15.1
