Player_Num,VS PLAYER,TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,OPP +/-
1,"Moore, E'Twaun",NOP,82,48,34,31.5,27.3,59.9,45.5,7.3,19.8,36.8,9.7,12.2,78.9,7,22.5,29.5,15.8,9.5,5,2.8,4.1,13.3,11.9,71.5,-1.8
1,"Connaughton, Pat",POR,82,49,33,18.1,14,31.9,43.8,3.7,10.5,35.4,7.1,9.4,75.2,3.4,12.3,15.7,7.4,4.3,2.7,2,1.6,7,7.8,38.7,-1.7
1,"Felton, Raymond",OKC,82,48,34,16.6,12.8,28.4,45,3.6,9.8,36.4,5.8,7.5,77.6,3.6,11.8,15.4,7.7,5.1,2.3,1.6,1.8,7.3,7.2,34.9,0.6
1,"Ferrell, Yogi",DAL,82,24,58,27.8,21.6,48,45.1,5.7,16.8,34.1,9.5,12.6,75,5.5,21.1,26.6,12.5,8.2,4,2.5,2.3,11.7,11.4,58.5,0
1,"Gibson, Taj",MIN,82,47,35,33.2,27.3,58.5,46.7,7.5,20.5,36.6,11,14.1,78,6.8,21.8,28.6,16.4,10.5,4.2,3,3.2,14.3,11.7,73.2,-2.9
1,"Gortat, Marcin",WAS,82,43,39,25.3,20.5,44.7,45.9,5.2,14.9,34.9,8,10.4,77.6,5.3,17.5,22.7,11.9,7.7,4.2,2.5,2.3,9.1,9.4,54.3,-1.3
1,"Wiggins, Andrew",MIN,82,47,35,36.3,30,64.1,46.9,8.3,22.9,36.5,12,15.3,78.5,7.4,24.1,31.5,17.8,11.3,4.8,3.6,3.4,15.5,13.1,80.5,-2.5
1,"Ingles, Joe",UTA,82,48,34,31.4,24.6,54.2,45.4,6.1,16.5,37.1,10.3,13.2,77.8,5.7,21.4,27,13.3,9.8,5.3,3.1,3.3,13.3,12.7,65.5,-3.2
1,"James, LeBron",CLE,82,50,32,36.9,32.5,67.7,48,9.1,24.2,37.7,11.2,14.9,75.5,7.5,25.6,33.1,20.3,10.2,5.9,3.3,3,15.6,14.1,85.4,-1.3
1,"Brooks, Dillon",MEM,82,22,60,28.7,21.8,47.8,45.6,6.2,17.3,36,11.8,15.3,77.1,5.6,19.9,25.5,13,8.7,4.9,3.1,2.6,12,13.6,61.6,3
1,"Jones, Tyus",MIN,82,47,35,17.9,14.6,30.8,47.3,3.5,10.1,35,5.4,7,77.1,3.5,11.8,15.4,8.6,5.7,2.3,1.7,1.6,7.6,6.7,38.1,-2.2
1,"Joseph, Cory",IND,82,48,34,27,21.8,47.2,46.1,5.9,17.6,33.6,9,11.8,76.5,5.4,18.2,23.6,12.5,8.3,4,3,2.2,10.9,11,58.5,0.6
1,"Middleton, Khris",MIL,82,44,38,36.4,29.5,62.7,47.1,7.7,20.4,37.8,13.7,17.6,78.1,7.6,24.6,32.2,17.7,12,5.4,3.3,4.1,15,16.1,80.5,-1.2
1,"Miller, Darius",NOP,82,48,34,23.7,20.3,44.2,45.8,4.9,14.7,33.5,9.3,11.8,79,5.1,17,22,11,6.6,4,2,2.6,10,10.3,54.8,0.3
1,"Tucker, PJ",HOU,82,65,17,27.8,22.4,48.6,46.1,5.8,16.9,34.3,8.7,11.6,75.1,5,18.7,23.6,12.5,8.8,4.2,2.6,2.8,12.1,11.2,59.3,-6.4
1,"Towns, Karl-Anthony",MIN,82,47,35,35.6,29.3,62.3,47.1,7.9,21.3,36.9,11.2,14.4,78.1,7.2,22.8,30,17.6,10.8,4.7,3.3,3.3,15.8,13.1,77.8,-4.6
1,"Mills, Patty",SAS,82,47,35,25.7,20.8,44.9,46.4,4.9,13.7,35.4,8.2,10.8,76,5,17.7,22.7,12,7.5,3.9,2.1,3,10.7,9.8,54.7,-1.3
1,"Biyombo, Bismack",ORL,82,25,57,18.2,15.8,33.7,46.8,4,10.5,37.8,6,7.9,76.5,4.5,13.3,17.8,9.1,5,3.2,2,2.2,7.2,7.4,41.5,5.2
1,"Stephenson, Lance",IND,82,48,34,22.6,18.7,39,48,4.9,14.2,34.7,7.8,10.3,75.9,4.3,15.1,19.3,11,6.7,3.1,2.3,1.8,8.7,9.7,50.2,1.3
1,"Bender, Dragan",PHX,82,21,61,25.2,22.3,47.2,47.2,5.7,15.5,36.6,9.5,12.3,77.3,5.5,19,24.5,12.4,6.8,4.6,3,2.2,10.5,11.1,59.7,5.7
1,"Smith, Ish",DET,82,39,43,24.9,20.3,44.5,45.5,5.6,15.9,35,8.1,10.1,79.5,4.6,17.9,22.5,12.8,7.2,3.6,2.4,2.2,9.5,9.5,54.1,-0.5
1,"Patterson, Patrick",OKC,82,48,34,15.5,12.3,26.9,45.8,3.4,9.3,36.8,4.7,6.2,76.5,3.3,11.3,14.6,7.3,5,2.1,1.6,1.9,6.7,6.3,32.8,0.9
