Player_num,PLAYER,TEAM,AGE,GP,W,L,MIN,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
1,Dragan Bender,PHX,20,82,21,61,25.2,33.5,66.5,26,0.8,66.7,5.8,7.3,13.7,25.2,50.7,49.3,99.2,0.8,81.3,18.7
1,E'Twaun Moore,NOP,29,82,48,34,31.5,63.8,36.2,57.7,9.6,37.6,21.4,4.7,17.6,48.1,64.1,35.9,98.4,1.6,74.5,25.5
1,PJ Tucker,HOU,33,82,65,17,27.8,29.7,70.3,22.7,3.2,68.7,9.8,8.6,19.1,19.5,57.9,42.1,98.3,1.7,84.9,15.1
1,Pat Connaughton,POR,25,82,49,33,18.1,46.2,53.8,41.3,6.3,50.3,5.9,8.4,11.1,34.9,69.2,30.8,93.2,6.8,80,20
1,Patrick Patterson,OKC,29,82,48,34,15.5,35.7,64.3,25.2,4.4,62.3,10.7,12.6,13.8,20.8,60,40,100,0,84.9,15.1
1,Patty Mills,SAS,29,82,47,35,25.7,39.3,60.7,30.8,16.6,56.4,11.7,12.8,12.8,14.2,47.6,52.4,76,24,63.2,36.8
1,Yogi Ferrell,DAL,25,82,24,58,27.8,50.8,49.2,42.2,20,48,12.3,9.8,16,22.2,40.1,59.9,74.6,25.4,55,45
1,Joe Ingles,UTA,30,82,48,34,31.4,35.4,64.6,27.9,4,65.1,12.7,7,17.3,23.8,35.9,64.1,84.8,15.2,65.7,34.3
1,Raymond Felton,OKC,34,82,48,34,16.6,58.3,41.7,50.6,19.5,43,5.3,6.4,15.8,31.2,7.7,92.3,72.8,27.2,31.3,68.8
1,Khris Middleton,MIL,26,82,44,38,36.4,68,32,54.1,27.1,26.5,11.7,19.4,16.9,27,42.7,57.3,84.2,15.8,53,47
1,Jakob Poeltl,TOR,22,82,59,23,18.6,99.5,0.5,88.9,2.1,0.5,6.7,10.6,16.2,86.8,73,27,100,0,73.1,26.9
1,Julius Randle,LAL,23,82,35,47,26.7,95,5,74.7,3.3,2.3,16.8,23.1,15,71.4,53.4,46.6,100,0,54.4,45.6
1,Ish Smith,DET,29,82,39,43,24.9,87.4,12.6,79.2,26.6,11.7,12.9,9.1,14.5,52.6,20.3,79.7,62.9,37.1,24.2,75.8
1,Lance Stephenson,IND,27,82,48,34,22.6,67.3,32.7,62.4,20.3,26.6,13.7,11.1,15.7,42,23.7,76.3,71.6,28.4,34.3,65.7
1,LeBron James,CLE,33,82,50,32,36.9,74.3,25.7,62.9,10.4,19.9,15.2,17.2,14.9,52.5,30.1,69.9,35.6,64.4,31,69
1,Dillon Brooks,MEM,22,82,22,60,28.7,65.8,34.2,54.8,10.9,31.4,18.2,13.8,16,43.9,53.3,46.7,90.4,9.6,63.5,36.5
1,Taj Gibson,MIN,33,82,47,35,33.2,95.3,4.7,83.7,12,2.1,6.6,14.2,16.3,71.7,71.1,28.9,100,0,71.5,28.5
1,Taurean Prince,ATL,24,82,24,58,30,53.1,46.9,41.3,6.4,45.6,11.6,13.1,15,34.9,38.1,61.9,89.8,10.2,60,40
1,Darius Miller,NOP,28,82,48,34,23.7,26.5,73.5,21.7,13.5,69.2,10.5,9.1,12.2,8.2,59.4,40.6,95.9,4.1,84.3,15.7
