PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Aaron Brooks,MIN,33,32,6,0,0.3,0.2,0.03,0.6,0.9,1.5
Aaron Gordon,ORL,22,58,33,0.9,1.4,1.2,0.07,4.7,1.8,6.5
Aaron Harrison,DAL,23,9,26,0.1,2,0.9,0,3.3,3.2,6.6
Aaron Jackson,HOU,32,1,35,0,4,0,0,0,0,0
Abdel Nader,BOS,24,48,11,0.1,0.7,0.4,0,1.5,1.3,2.8
Adreian Payne,ORL,27,5,9,0.4,1,0,0,1.2,0.2,1.4
Al Horford,BOS,32,72,32,2.7,1.3,0.8,0,8.8,3.5,12.3
Al Jefferson,IND,33,36,13,1.4,0.9,0.3,0.06,4.2,0.6,4.8
Al-Farouq Aminu,POR,27,69,30,1.5,2.2,1.3,0,5.6,3,8.6
Alan Williams,PHX,25,5,14,1.8,1,0.2,0,1.2,1,2.2
Alec Burks,UTA,26,64,17,0.1,0.8,0.6,0.02,1.6,1.4,3
Alec Peters,PHX,23,20,11,0.3,0.5,0.3,0.1,1.6,1.4,3
Alex Abrines,OKC,24,75,15,0.1,0.9,0.5,0.03,2,1.9,4
Alex Caruso,LAL,24,37,15,0.1,1.2,0.6,0.08,2.1,1.6,3.7
Alex Len,PHX,25,69,20,3.8,0.7,0.5,0,8.1,1.1,9.3
Alex Poythress,IND,24,25,4,0.2,0.2,0.1,0,0.6,0.4,1
Alfonzo McKinnie,TOR,25,14,4,0,0.1,0,0,0.5,0.3,0.8
Allen Crabbe,BKN,26,75,29,0.2,1.5,0.9,0.01,3.5,2,5.5
Amir Johnson,PHI,31,74,16,2.5,1,0.7,0.08,4.7,0.8,5.5
Andre Drummond,DET,24,78,34,4.7,3.2,1.2,0.01,9.2,2,11.2
Andre Iguodala,GSW,34,64,25,0.7,1.4,1.2,0.02,2.7,2.3,5
Andre Ingram,LAL,32,2,32,0.5,1,1,1,3,4,7
Andre Roberson,OKC,26,39,27,0.8,2.3,1.3,0.03,5,3.3,8.2
Andrew Bogut,LAL,33,24,9,1.3,0.3,0.2,0.08,2.5,0.5,3
Andrew Harrison,MEM,23,56,24,0.2,1.7,0.9,0.21,2.3,2.7,5
Andrew White III,ATL,25,15,14,0,0.3,0.7,0,0.9,1.6,2.5
Andrew Wiggins,MIN,23,82,36,0.2,1.7,1.1,0,4.3,4.7,9
Ante Zizic,CLE,21,32,7,0.9,0.1,0.1,0,2.2,0.4,2.6
Anthony Brown,MIN,25,1,4,0,0,0,0,1,0,1
Anthony Davis,NOP,25,75,36,3.9,2.4,1.4,0.15,9.8,4.5,14.3
Anthony Tolliver,DET,33,79,22,1.5,0.7,0.7,0.23,3.8,2.4,6.2
Antonio Blakeney,CHI,21,19,17,0.1,0.6,0.3,0,1.8,2.2,4
Antonius Cleveland,ATL,24,17,7,0,0.9,0.2,0.06,0.7,0.5,1.2
Aron Baynes,BOS,31,81,18,2.4,0.3,0.5,0.21,7.1,1.5,8.6
Arron Afflalo,ORL,32,53,13,0.1,0.1,0.2,0,1.5,1.3,2.9
Austin Rivers,LAC,25,61,34,0.1,2,1.1,0.05,3,1.9,4.8
Avery Bradley,LAC,27,46,31,0.3,1.9,0.9,0.11,2,3,5
Bam Adebayo,MIA,20,69,20,2.9,1.1,0.7,0.01,4.8,1.8,6.6
Ben McLemore,MEM,25,56,19,0.1,1.3,0.8,0.04,1.6,1.8,3.4
Ben Moore,IND,23,2,5,0,0,0,0,0.5,0,0.5
Ben Simmons,PHI,21,81,34,0.8,2.9,1.8,0.04,4.4,3.7,8.1
Bismack Biyombo,ORL,25,82,18,2.7,0.5,0.6,0.01,6,1.1,7.1
Blake Griffin,DET,29,58,34,2.9,1.4,1,0.21,5.7,3.9,9.6
Boban Marjanovic,LAC,29,39,9,1.4,0.4,0.2,0,3.7,0.4,4.1
Bobby Brown,HOU,33,20,6,0.1,0.1,0.1,0,0.1,0.6,0.8
Bobby Portis,CHI,23,73,23,1.9,1.3,0.7,0.01,3.4,1.9,5.4
Bogdan Bogdanovic,SAC,25,78,28,0.3,2.1,0.8,0,3.2,2.7,5.8
Bojan Bogdanovic,IND,29,80,31,0.1,1.1,0.8,0.03,3.7,3.3,7
Bradley Beal,WAS,25,82,36,0.4,2,1.1,0.05,3.8,4.1,7.9
Brandan Wright,HOU,30,28,14,2,0.9,0.4,0,4.5,1,5.5
Brandon Ingram,LAL,20,59,33,0.2,1.8,0.9,0.02,4.5,4.2,8.8
Brandon Jennings,MIL,28,14,15,0,0.9,0.3,0,0.9,0.9,1.7
Brandon Paul,SAS,27,64,9,0.1,0.7,0.3,0.17,0.9,0.9,1.8
Briante Weber,MEM,25,18,13,0.2,1.4,0.9,0.06,0.7,1.3,2.1
Brice Johnson,MEM,24,18,5,0.2,0.6,0.2,0,1.3,0.8,2.2
Brook Lopez,LAL,30,74,23,2.1,1,0.5,0,10.1,2.5,12.6
Bruno Caboclo,SAC,22,12,9,0.5,0.4,0.2,0,1.8,0.6,2.3
Bryn Forbes,SAS,24,80,19,0.1,0.5,0.5,0,1.8,1.6,3.4
Buddy Hield,SAC,24,80,25,0.1,1.9,1.2,0,3.8,2.7,6.6
C.J. Williams,LAC,28,38,19,0.1,1.5,0.7,0,2.5,2.3,4.7
CJ McCollum,POR,26,81,36,0.3,1.5,1.4,0.01,4.3,3,7.3
CJ Miles,TOR,31,70,19,0.2,1.1,0.5,0.09,1.6,1.7,3.3
Caleb Swanigan,POR,21,27,7,0.6,0.1,0.3,0,1.3,0.8,2.1
Cameron Payne,CHI,23,25,23,0.1,2.1,1.2,0,2,3.1,5.2
Caris LeVert,BKN,23,71,26,0.2,2.3,1.1,0.08,3.4,2.8,6.1
Carmelo Anthony,OKC,34,78,32,0.8,1.4,0.7,0,3.8,3.4,7.1
Cedi Osman,CLE,23,61,11,0.1,0.8,0.4,0.02,1.6,1.1,2.7
Chandler Parsons,MEM,29,36,19,0.3,0.9,0.4,0.08,1.7,1.6,3.3
Channing Frye,LAL,35,53,13,1.3,0.5,0.3,0.04,4.2,1.4,5.6
Charles Cooke,NOP,23,13,3,0,0.1,0.1,0,0.4,0.1,0.5
Cheick Diallo,NOP,21,52,11,1.3,0.4,0.3,0,3.3,0.9,4.3
Chinanu Onuaku,HOU,21,1,22,1,0,1,0,2,3,5
Chris Boucher,GSW,25,1,1,-,-,-,-,-,-,-
Chris McCullough,WAS,23,19,5,0.2,0.1,0.2,0,1.1,0.5,1.6
Chris Paul,HOU,33,58,32,0.5,3,1.6,0.03,2.3,1.9,4.3
Clint Capela,HOU,24,74,27,3,1,1.1,0.11,10.4,2.6,12.9
