,Player,Team,Movement,Passing,Attack_Basket,CASSpacing,Transition,Post_Up,Isolation,Roll_Man,PARBall_Handler,Screen,Help_Def,Shot_Contest,Clutch,Interior_Score,Midrange,Long_Range,Points,Rebounds,Net_Rating,Pace,Plus_Minus,Usage,Defense_Aggregate
0,James Harden,HOU,19.650295999999997,20.412485447561078,10.48860563487072,7.3025,3.9639999999999995,1.869,14.1325,-1.0,9.669,0.3,5.61,3.091232149899611,5.255000000000001,44.6,8.374000000000002,37.098000000000006,30.4,7.54,9.9,99.69,14.6,36.1,10.75
1,Anthony Davis,NOP,23.246055999999996,5.668594802326854,-0.3041482883704621,7.1691,6.2705,5.8469999999999995,2.6995000000000005,6.131,1.9360000000000002,3.9,5.13,5.733059816671901,5.98,73.75,20.475,10.170000000000002,28.1,14.925,5.4,103.32,7.8,29.7,20.5
2,LeBron James,CLE,22.479599999999998,20.594162090143946,12.34044664814081,7.719200000000001,7.866499999999999,3.7875000000000005,7.451,2.46,6.4355,1.0,4.59,2.853523695361807,7.19,70.373,12.813,20.214000000000002,27.5,11.905000000000001,1.7,100.1,2.6,31.6,3.91
3,Damian Lillard,POR,25.795212,16.174106085044492,2.43892626760175,9.71795,4.346500000000001,3.2755,5.768,-1.0,13.6515,0.2,4.82,1.9125524912914826,5.515,36.900000000000006,13.030000000000001,34.387,26.9,5.970000000000001,4.8,100.2,9.4,30.1,7.5
4,Giannis Antetokounmpo,MIL,25.831792,12.882645998970192,4.527471175453825,6.071000000000001,8.402000000000001,3.8125000000000004,4.076,3.5765000000000002,3.7700000000000005,1.4,5.7,4.148869871784596,5.73,75.814,13.470000000000002,9.93,26.9,13.865,3.5,98.38,4.0,31.2,12.18
5,Stephen Curry,GSW,27.321168000000004,19.401242308805895,6.083769968633758,14.610049999999998,5.237000000000001,-1.0,2.7465,1.798,7.6434999999999995,0.7,5.720000000000001,1.9922501601462679,6.475,24.208000000000002,13.616,44.745000000000005,26.4,7.255000000000001,14.7,106.01,19.0,29.7,6.659999999999999
6,Kevin Durant,GSW,23.106779999999997,13.59421316512829,4.122723011462176,12.9724,6.5655,3.114,5.3615,1.9865,5.566,0.6,3.36,3.9972870000991176,6.415,33.568,31.64,27.289,26.4,9.625,8.8,103.3,10.2,29.9,8.25
7,Russell Westbrook,OKC,25.642751999999998,24.24070145731879,9.835509227195192,6.554,7.7865,2.8609999999999998,5.214499999999999,3.1255,8.1615,0.1,7.169999999999999,1.440808453926754,5.755000000000001,53.354000000000006,25.496000000000002,15.773999999999997,25.4,13.685,5.7,101.19,9.6,33.2,9.66
8,DeMarcus Cousins,NOP,18.970248,11.659324511578635,2.8520885048993505,11.783999999999999,3.9139999999999997,4.4835,3.1560000000000006,3.966500000000001,1.091,2.3,6.140000000000001,5.2674844626878405,5.605,55.602000000000004,5.724,22.713,25.2,17.73,1.8,100.74,3.4,32.4,11.52
9,Devin Booker,PHX,26.147712,11.67923960201003,1.1262123901938248,10.961,6.4595,2.8605,3.4695,0.0,6.4245,0.5,3.4299999999999997,2.5879956648983162,4.1850000000000005,31.227000000000004,22.018,30.534,24.9,6.2,-10.1,104.68,-13.2,30.9,1.56
10,Kyrie Irving,BOS,23.47488,15.41984886859903,9.493780664841157,10.4696,4.141500000000001,1.5180000000000002,5.3795,0.0,8.6015,0.5,4.299999999999999,2.216003760752457,6.575,38.72800000000001,18.840000000000003,31.454,24.4,5.365,5.2,99.22,8.6,30.7,6.16
11,LaMarcus Aldridge,SAS,22.971087999999998,7.077014323606174,1.142012091339872,7.2384,3.183,10.913000000000002,1.373,5.902000000000001,-1.0,3.2,3.3,5.092468591511244,5.055,53.55400000000001,31.296000000000003,7.121,23.1,11.695,5.7,95.64,7.4,29.4,9.179999999999998
12,Victor Oladipo,IND,27.422400000000003,10.461413693693038,6.61427168248371,9.68215,6.674999999999999,-1.0,4.1505,-1.0,8.896,0.1,7.12,3.76588330589151,5.73,37.9,20.916,26.357999999999997,23.1,7.289999999999999,6.4,98.82,9.0,30.0,15.680000000000001
13,DeMar DeRozan,TOR,25.024832000000004,14.255361771384072,7.709059194079207,7.8656500000000005,4.4110000000000005,2.305,4.7805,-1.0,9.717500000000001,0.1,3.8400000000000003,1.5912582304818994,6.425000000000001,37.408,28.509000000000007,15.129999999999999,23.0,5.43,6.8,100.84,11.0,29.2,5.46
14,Joel Embiid,PHI,20.249856,7.875312346469531,1.9756406405503146,9.02685,3.024,10.114,2.4125,3.1445,1.8185,3.0,3.2900000000000005,4.763347263578824,4.76,47.214000000000006,21.614000000000004,11.842,22.9,15.645,11.6,100.37,15.4,33.9,12.96
15,Kristaps Porzingis,NYK,22.847832,4.084608644384157,-1.6470196146710305,14.125800000000002,3.5385,6.879999999999999,1.911,5.295,-0.9729999999999999,2.3,3.4499999999999997,5.708951908544907,6.275,29.051000000000002,31.515,21.251000000000005,22.7,9.245,0.1,99.11,0.6,31.1,11.52
16,Bradley Beal,WAS,25.629827999999996,14.157798228845659,4.396718347973287,12.052,6.019500000000001,2.915,3.4624999999999995,1.01,6.257,0.4,4.1,3.291983296423424,4.33,32.714999999999996,21.36,29.057000000000002,22.6,6.055,2.3,98.74,4.4,27.7,6.560000000000001
17,Lou Williams,LAC,21.919128,13.645581903598133,2.8941205380951893,9.5912,4.285,-7.5,2.8005,2.3834999999999997,9.495500000000002,0.2,4.22,2.2102182619856836,4.23,31.812,15.688000000000002,25.333999999999996,22.6,3.5,0.6,102.44,3.0,29.2,2.4699999999999998
18,Jimmy Butler,MIN,27.014399999999995,10.894590313207885,6.817372423264933,7.3629500000000005,5.854,2.737,3.7120000000000006,2.1825,6.785000000000001,0.4,7.17,2.565305149335766,6.225,38.471,21.459,13.559,22.2,7.27,8.3,96.92,12.6,25.1,10.08
19,Kemba Walker,CHA,24.785792000000004,15.928313916122017,5.120486958864989,9.75825,5.196000000000001,-1.0,2.5249999999999995,-1.0,12.328499999999998,0.2,4.53,3.365731057886926,5.285,27.063,15.821,30.804,22.1,4.285,3.5,100.85,5.2,27.3,4.900000000000001
